City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Port Moresby,PG,2020-06-22 16:21:36,-9.44,147.18,78.8,88,40,12.75
143,Hobart,AU,2020-06-22 16:16:40,-42.88,147.33,55.99,93,90,6.93
144,Beruwala,LK,2020-06-22 16:21:36,6.48,79.98,81.9,83,86,9.69
145,Kotelnikovo,RU,2020-06-22 16:21:36,47.63,43.15,82.33,45,61,16.37
146,Thompson,CA,2020-06-22 16:21:36,55.74,-97.86,62.6,72,75,2.24
147,Beloha,MG,2020-06-22 16:21:36,-25.17,45.05,66.18,89,16,7.85
148,Fare,PF,2020-06-22 16:21:36,-16.7,-151.02,77.0,75,55,21.99
149,Esperance,AU,2020-06-22 16:21:36,-33.87,121.9,55.4,37,100,23.04
150,San Ignacio,BZ,2020-06-22 16:21:36,17.16,-89.07,86.0,74,40,9.17
151,San Patricio,MX,2020-06-22 16:17:01,19.22,-104.7,89.6,62,75,4.63
152,Talnakh,RU,2020-06-22 16:21:36,69.49,88.4,59.0,58,99,6.71
153,Port Alfred,ZA,2020-06-22 16:21:36,-33.59,26.89,57.99,87,0,7.56
154,Mehamn,NO,2020-06-22 16:21:37,71.04,27.85,42.8,81,90,11.41
155,Sao Miguel Do Araguaia,BR,2020-06-22 16:21:37,-13.28,-50.16,87.01,32,0,7.05
156,Sovetskaya Gavan,RU,2020-06-22 16:21:37,48.97,140.29,47.34,98,100,4.63
157,Oranjestad,AW,2020-06-22 16:19:43,12.52,-70.03,87.8,74,40,25.28
158,Zabol,AF,2020-06-22 16:21:37,32.25,67.25,81.45,14,0,10.11
159,Undory,RU,2020-06-22 16:21:37,54.61,48.39,57.2,67,64,8.95
160,Opotiki,NZ,2020-06-22 16:21:37,-38.08,177.28,46.0,98,23,3.0
161,Quelimane,MZ,2020-06-22 16:21:37,-17.88,36.89,73.4,78,75,6.93
162,Sao Filipe,CV,2020-06-22 16:21:37,14.9,-24.5,78.8,73,38,14.9
163,Coihaique,CL,2020-06-22 16:21:37,-45.58,-72.07,41.0,86,40,4.7
164,Kahului,US,2020-06-22 16:16:41,20.89,-156.47,75.2,73,90,11.41
165,Yellowknife,CA,2020-06-22 16:21:37,62.46,-114.35,72.0,63,75,5.82
166,Khasan,RU,2020-06-22 16:21:38,42.43,130.64,60.69,94,98,2.13
167,Kodiak,US,2020-06-22 16:17:02,57.79,-152.41,50.0,87,90,6.93
168,Oistins,BB,2020-06-22 16:21:38,13.07,-59.53,89.6,62,40,23.04
169,Port Blair,IN,2020-06-22 16:21:38,11.67,92.75,83.5,81,95,10.36
170,Kichera,RU,2020-06-22 16:21:38,55.94,110.1,61.97,52,51,4.97
171,Kununurra,AU,2020-06-22 16:21:38,-15.77,128.73,69.8,27,0,8.05
172,Malakal,SS,2020-06-22 16:20:14,9.53,31.66,85.6,59,26,3.98
173,Sabla,NG,2020-06-22 16:21:38,12.75,4.71,101.66,21,72,3.2
174,Vagur,FO,2020-06-22 16:21:38,61.47,-6.81,51.96,84,100,38.36
175,Fort Nelson,CA,2020-06-22 16:21:38,58.81,-122.7,60.8,59,40,3.36
176,Tasiilaq,GL,2020-06-22 16:17:04,65.61,-37.64,55.4,43,40,2.24
177,Longyearbyen,SJ,2020-06-22 16:21:38,78.22,15.64,50.0,61,4,6.93
178,Milkovo,RU,2020-06-22 16:21:38,54.72,158.62,54.59,77,99,3.02
179,Conakry,GN,2020-06-22 16:21:38,9.54,-13.68,87.8,70,75,9.17
180,Geraldton,AU,2020-06-22 16:21:39,-28.77,114.6,64.4,59,75,18.34
181,Narasannapeta,IN,2020-06-22 16:21:39,18.42,84.05,84.81,70,80,4.5
182,Roma,US,2020-06-22 16:17:22,43.21,-75.46,87.8,48,20,5.82
183,Mahebourg,MU,2020-06-22 16:21:39,-20.41,57.7,71.6,83,40,10.29
184,Port Elizabeth,ZA,2020-06-22 16:21:39,-33.92,25.57,57.2,93,0,3.36
185,Buchanan,LR,2020-06-22 16:21:39,5.88,-10.05,86.0,74,75,11.41
186,Stromness,GB,2020-06-22 16:21:39,58.97,-3.3,61.0,77,20,27.51
187,Yulara,AU,2020-06-22 16:21:39,-25.24,130.99,46.4,75,0,8.05
188,Yaan,NG,2020-06-22 16:21:39,7.38,8.57,81.48,78,36,4.63
189,San Carlos Del Zulia,VE,2020-06-22 16:21:39,9.0,-71.91,86.72,70,38,6.08
190,Tiksi,RU,2020-06-22 16:21:39,71.69,128.87,38.77,83,20,4.0
191,Chifeng,CN,2020-06-22 16:21:39,42.27,118.96,75.6,50,87,3.2
192,Saint Anthony,US,2020-06-22 16:21:39,45.02,-93.22,70.0,46,1,6.93
193,Hasaki,JP,2020-06-22 16:21:40,35.73,140.83,64.4,93,75,14.99
194,Butterworth,MY,2020-06-22 16:21:40,5.4,100.36,80.01,100,40,3.36
195,Pevek,RU,2020-06-22 16:21:40,69.7,170.31,32.72,94,4,16.33
196,Los Llanos De Aridane,ES,2020-06-22 16:17:32,28.66,-17.92,77.0,65,40,14.99
197,Jatibonico,CU,2020-06-22 16:21:40,21.94,-79.17,86.74,66,59,6.44
198,Northam,GB,2020-06-22 16:17:30,51.03,-4.22,66.99,67,1,14.0
199,Pangnirtung,CA,2020-06-22 16:21:40,66.15,-65.71,42.8,75,90,4.7
200,Goure,NE,2020-06-22 16:21:40,13.98,10.27,102.99,15,50,8.01
201,Novaya Malykla,RU,2020-06-22 16:21:40,54.2,49.95,56.21,76,39,4.47
202,Oxford,GB,2020-06-22 16:20:09,51.75,-1.26,72.0,49,50,16.11
203,Katsuura,JP,2020-06-22 16:21:41,35.13,140.3,68.0,86,100,3.0
204,Banda Aceh,ID,2020-06-22 16:17:38,5.56,95.32,79.25,81,100,17.0
205,Touba,CI,2020-06-22 16:21:41,8.28,-7.68,86.0,60,81,3.24
206,Esso,RU,2020-06-22 16:21:41,55.93,158.7,52.65,78,100,4.47
207,Doctor Juan Manuel Frutos,PY,2020-06-22 16:21:41,-25.37,-55.8,80.24,51,0,8.97
208,Rorvik,NO,2020-06-22 16:21:41,64.86,11.24,60.8,87,75,13.87
209,Itako,JP,2020-06-22 16:21:41,35.93,140.55,64.4,93,75,14.99
210,Baghdad,IQ,2020-06-22 16:18:05,33.34,44.4,102.2,15,0,17.22
211,Floresti,MD,2020-06-22 16:21:41,47.89,28.3,76.28,71,33,7.36
212,Katra,IN,2020-06-22 16:21:41,32.98,74.95,87.51,32,0,4.76
213,Mach,PK,2020-06-22 16:21:41,29.86,67.33,91.27,19,0,1.95
214,Bengkulu,ID,2020-06-22 16:21:41,-3.8,102.27,77.22,90,100,7.76
215,Cermik,TR,2020-06-22 16:21:41,38.14,39.45,84.2,23,2,8.05
216,Oranjemund,NA,2020-06-22 16:21:42,-28.55,16.43,58.46,78,0,9.4
217,Araouane,ML,2020-06-22 16:21:42,18.9,-3.53,111.7,7,0,9.4
218,Pandan,PH,2020-06-22 16:21:42,14.05,124.17,81.45,84,13,8.1
219,Tautira,PF,2020-06-22 16:21:42,-17.73,-149.15,71.6,78,20,3.36
220,Rawson,AR,2020-06-22 16:21:42,-43.3,-65.1,55.31,39,100,24.61
221,Constitucion,CL,2020-06-22 16:17:11,-35.33,-72.42,50.81,84,100,9.75
