City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
102,Ilulissat,GL,69.22,-51.1,41.0,80,95,4.7,overcast clouds,0.0,0.0
103,Asheville,US,35.6,-82.55,77.0,77,93,1.01,light rain,0.69,0.0
104,Kapaa,US,22.08,-159.32,84.2,62,40,11.41,scattered clouds,0.0,0.0
105,Castro,BR,-24.79,-50.01,57.52,89,0,3.83,clear sky,0.0,0.0
106,Hobyo,SO,5.35,48.53,78.53,80,7,25.9,clear sky,0.0,0.0
107,Sorong,ID,-0.88,131.25,78.13,88,94,8.81,overcast clouds,0.0,0.0
108,Ambulu,ID,-8.35,113.61,72.95,88,100,3.09,overcast clouds,0.0,0.0
109,Skibbereen,IE,51.55,-9.27,55.4,100,75,9.17,light intensity drizzle,0.0,0.0
110,Vanimo,PG,-2.67,141.3,79.68,84,68,4.9,light rain,0.22,0.0
111,Oktyabrskoye,RU,43.06,44.74,66.2,93,0,4.47,clear sky,0.0,0.0
112,Paka,MY,4.64,103.44,75.2,94,97,2.24,light rain,0.18,0.0
113,Morant Bay,JM,17.88,-76.41,87.8,70,20,21.92,few clouds,0.0,0.0
114,Salekhard,RU,66.53,66.6,46.06,74,74,1.5,broken clouds,0.0,0.0
115,Codrington,AU,-38.27,141.97,48.33,96,19,6.55,few clouds,0.0,0.0
116,Vao,NC,-22.67,167.48,72.27,75,0,10.54,clear sky,0.0,0.0
117,Nome,US,64.5,-165.41,51.8,53,1,13.87,clear sky,0.0,0.0
118,Sitka,US,57.05,-135.33,57.2,67,75,4.7,broken clouds,0.0,0.0
119,Cayenne,GF,4.93,-52.33,78.8,88,100,6.93,light rain,0.46,0.0
120,Urumqi,CN,43.8,87.6,69.8,35,100,2.24,overcast clouds,0.0,0.0
121,Coihaique,CL,-45.58,-72.07,33.8,95,42,6.93,scattered clouds,0.0,0.0
122,Oranjemund,NA,-28.55,16.43,57.43,67,0,2.08,clear sky,0.0,0.0
123,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds,0.0,0.0
124,Cardston,CA,49.2,-113.3,82.4,37,75,12.75,broken clouds,0.0,0.0
125,Lebu,CL,-37.62,-73.65,47.98,73,51,8.28,broken clouds,0.0,0.0
126,Mehamn,NO,71.04,27.85,44.6,75,20,6.93,few clouds,0.0,0.0
127,Nador,MA,35.17,-2.93,73.4,73,65,3.36,broken clouds,0.0,0.0
128,Xichang,CN,27.9,102.26,65.98,82,100,6.17,heavy intensity rain,4.09,0.0
129,Alofi,NU,-19.06,-169.92,80.6,74,20,6.93,few clouds,0.0,0.0
130,Mackenzie,CA,55.3,-123.17,64.4,45,20,11.41,few clouds,0.0,0.0
131,Port Elizabeth,ZA,-33.92,25.57,48.2,81,0,4.7,clear sky,0.0,0.0
132,Adrar,MR,20.5,-10.07,101.48,12,48,6.42,scattered clouds,0.0,0.0
133,Coffeyville,US,37.04,-95.62,84.2,28,1,17.22,clear sky,0.0,0.0
134,Rimouski,CA,48.45,-68.52,77.0,65,75,3.36,broken clouds,0.0,0.0
135,Sinnamary,GF,5.38,-52.95,77.4,90,100,7.94,light rain,0.74,0.0
136,Souillac,MU,-20.52,57.52,71.6,83,20,5.82,few clouds,0.0,0.0
137,Amalapuram,IN,16.58,82.02,82.42,80,6,3.06,clear sky,0.0,0.0
138,Barrow,US,71.29,-156.79,35.6,80,90,8.05,overcast clouds,0.0,0.0
139,Ribeira Grande,PT,38.52,-28.7,61.32,71,9,17.67,clear sky,0.0,0.0
140,Zyryanka,RU,65.75,150.85,75.33,20,0,4.34,clear sky,0.0,0.0
141,Bonavista,CA,48.65,-53.11,63.91,83,66,17.34,broken clouds,0.0,0.0
142,Hofn,IS,64.25,-15.21,50.22,94,100,17.83,moderate rain,1.98,0.0
143,Geraldton,AU,-28.77,114.6,57.2,93,90,8.05,overcast clouds,0.0,0.0
144,Aromashevo,RU,56.86,68.64,50.34,78,44,5.46,scattered clouds,0.0,0.0
145,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,90,16.11,overcast clouds,0.0,0.0
146,Rocha,UY,-34.48,-54.33,66.29,96,98,4.34,moderate rain,1.59,0.0
147,Sao Felix Do Xingu,BR,-6.64,-51.99,75.7,65,0,2.89,clear sky,0.0,0.0
148,Kamenka,RU,51.32,42.77,64.0,61,58,8.63,light rain,0.16,0.0
149,Margate,GB,51.38,1.39,64.0,56,100,11.68,overcast clouds,0.0,0.0
150,Upington,ZA,-28.45,21.26,51.8,34,0,6.93,clear sky,0.0,0.0
151,Beroroha,MG,-21.67,45.17,69.89,71,20,3.58,few clouds,0.0,0.0
152,Kununurra,AU,-15.77,128.73,53.6,36,0,2.24,clear sky,0.0,0.0
153,Juneau,US,58.3,-134.42,57.2,71,90,8.05,light rain,0.25,0.0
154,Itarema,BR,-2.92,-39.92,76.98,71,64,14.12,light rain,0.22,0.0
155,Semey,KZ,50.41,80.23,65.95,56,92,6.53,overcast clouds,0.0,0.0
156,Arraial Do Cabo,BR,-22.97,-42.03,71.6,64,100,4.7,overcast clouds,0.0,0.0
157,Airai,TL,-8.93,125.41,56.03,100,47,3.71,scattered clouds,0.0,0.0
158,Aranjuez,ES,40.03,-3.6,84.99,28,5,4.7,clear sky,0.0,0.0
159,Haines Junction,CA,60.75,-137.51,56.32,42,75,10.67,broken clouds,0.0,0.0
160,Hambantota,LK,6.12,81.12,77.0,94,100,3.36,overcast clouds,0.0,0.0
161,Dwarahat,IN,29.78,79.43,66.99,90,29,1.07,light rain,0.4,0.0
162,Harper,LR,4.38,-7.72,77.07,80,83,8.81,broken clouds,0.0,0.0
163,Yaan,NG,7.38,8.57,77.04,83,98,4.03,overcast clouds,0.0,0.0
164,Vestmannaeyjar,IS,63.44,-20.27,50.02,93,100,22.97,light rain,0.66,0.0
165,Katsuura,JP,35.13,140.3,73.0,94,75,5.82,mist,0.0,0.0
166,Aloja,LV,57.77,24.88,61.0,79,8,4.16,clear sky,0.0,0.0
167,Kieta,PG,-6.22,155.63,82.94,71,33,6.02,scattered clouds,0.0,0.0
168,Khatanga,RU,71.97,102.5,68.94,55,33,7.99,light rain,0.21,0.0
169,Tromso,NO,69.65,18.96,53.6,81,69,12.75,broken clouds,0.0,0.0
170,Balikpapan,ID,-1.27,116.83,76.71,88,87,8.7,light rain,0.32,0.0
171,Tazovskiy,RU,67.47,78.7,45.45,84,90,8.23,light rain,0.22,0.0
172,Dangara,IN,29.68,75.89,91.67,48,0,6.91,clear sky,0.0,0.0
173,Kenai,US,60.55,-151.26,55.99,66,90,12.75,shower rain,0.0,0.0
174,Buncrana,IE,55.13,-7.45,56.14,95,100,7.45,moderate rain,1.52,0.0
175,Vitim,RU,59.45,112.56,58.32,79,68,1.03,broken clouds,0.0,0.0
176,Badarpur,IN,24.9,92.6,77.79,92,74,1.05,light rain,0.43,0.0
177,Saint-Philippe,RE,-21.36,55.77,66.2,77,20,8.05,few clouds,0.0,0.0
178,Shingu,JP,33.73,135.98,71.94,79,67,3.6,broken clouds,0.0,0.0
179,Kutum,SD,14.2,24.67,77.63,17,45,5.12,scattered clouds,0.0,0.0
180,Tiksi,RU,71.69,128.87,56.89,61,1,6.06,clear sky,0.0,0.0
181,Sitio Novo Do Tocantins,BR,-5.52,-47.46,76.93,71,0,0.98,clear sky,0.0,0.0
182,Batagay-Alyta,RU,67.8,130.41,74.86,40,6,4.34,clear sky,0.0,0.0
183,Goderich,CA,43.75,-81.72,73.99,83,62,17.6,broken clouds,0.0,0.0
184,Vostok,RU,46.49,135.88,53.24,100,100,3.56,moderate rain,1.26,0.0
185,Hasaki,JP,35.73,140.83,68.0,94,75,10.29,broken clouds,0.0,0.0
186,Sungaipenuh,ID,-2.08,101.38,64.27,93,98,1.5,light rain,0.34,0.0
187,Rincon,US,32.3,-81.24,87.8,74,40,9.17,scattered clouds,0.0,0.0
188,Guarapari,BR,-20.67,-40.5,70.0,82,100,4.7,overcast clouds,0.0,0.0
189,Surgut,RU,61.25,73.42,46.4,100,26,5.48,scattered clouds,0.0,0.0
190,Sovetskaya,RU,44.78,41.17,69.01,5,0,8.01,light rain,0.11,0.0
191,Glubczyce,PL,50.2,17.83,57.99,82,69,7.67,broken clouds,0.0,0.0
192,Mount Gambier,AU,-37.83,140.77,50.0,100,90,6.93,overcast clouds,0.0,0.0
193,Esperance,AU,-33.87,121.9,50.0,87,0,14.99,clear sky,0.0,0.0
194,Kirkwood,US,38.58,-90.41,82.99,42,75,11.41,broken clouds,0.0,0.0
195,Diamantino,BR,-14.41,-56.45,75.85,47,17,4.23,few clouds,0.0,0.0
196,Tabriz,IR,38.08,46.29,73.4,35,0,9.17,clear sky,0.0,0.0
197,Murray Bridge,AU,-35.12,139.27,48.99,98,8,3.94,clear sky,0.0,0.0
198,Hithadhoo,MV,-0.6,73.08,83.73,76,100,12.01,overcast clouds,0.0,0.0
199,Praia,CV,14.92,-23.51,77.0,78,20,23.04,few clouds,0.0,0.0
200,East London,ZA,-33.02,27.91,67.71,29,0,6.64,clear sky,0.0,0.0
201,Leningradskiy,RU,69.38,178.42,33.08,92,99,13.27,overcast clouds,0.0,0.0
202,Tasiilaq,GL,65.61,-37.64,46.4,75,100,10.29,light rain,0.2,0.0
203,San Juan,AR,-31.54,-68.54,52.88,50,14,8.63,few clouds,0.0,0.0
204,Saskylakh,RU,71.92,114.08,79.65,34,37,10.67,scattered clouds,0.0,0.0
205,Cam Ranh,VN,11.92,109.16,84.2,70,40,5.61,scattered clouds,0.0,0.0
206,Thompson,CA,55.74,-97.86,80.6,32,40,6.93,scattered clouds,0.0,0.0
207,Srednekolymsk,RU,67.45,153.68,61.32,32,55,11.07,broken clouds,0.0,0.0
208,Inskoy,RU,54.43,86.44,57.74,88,100,0.83,overcast clouds,0.0,0.0
209,Kalbay,PH,5.72,125.5,80.19,69,100,5.17,overcast clouds,0.0,0.0
210,Dakar,SN,14.69,-17.44,82.4,83,5,9.17,clear sky,0.0,0.0
211,Conceicao Da Barra,BR,-18.59,-39.73,68.38,67,26,3.31,scattered clouds,0.0,0.0
212,Garden City,US,42.33,-83.33,71.6,64,75,19.46,broken clouds,0.0,0.0
213,Ulaangom,MN,49.98,92.07,53.53,44,0,0.69,clear sky,0.0,0.0
214,Amahai,ID,-3.33,128.92,82.0,96,40,1.99,light rain,0.36,0.0
215,Arrecife,ES,28.96,-13.55,73.4,64,75,19.46,broken clouds,0.0,0.0
216,Champerico,GT,14.3,-91.92,84.2,79,75,9.17,broken clouds,0.0,0.0
217,Santa Cruz,BO,-17.8,-63.17,80.6,78,40,23.04,scattered clouds,0.0,0.0
218,Buala,SB,-8.14,159.59,83.62,66,22,5.86,few clouds,0.0,0.0
219,Pemba,MZ,-12.97,40.52,75.2,88,40,12.75,scattered clouds,0.0,0.0
220,Victor Harbor,AU,-35.57,138.62,48.0,95,76,5.46,broken clouds,0.0,0.0
221,Yulara,AU,-25.24,130.99,32.0,83,0,5.82,clear sky,0.0,0.0
