City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Portel,BR,83.64,clear sky,-1.94,-50.82,Pousada Avenida
461,Fare,PF,77.36,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
477,Eyl,SO,93.31,overcast clouds,7.98,49.82,Amiin Hotel
480,Shache,CN,91.26,clear sky,38.42,77.24,Delong Hotel
485,Locri,IT,80.6,clear sky,38.24,16.26,Grand Hotel President
488,Licheng,CN,90.0,scattered clouds,23.3,113.83,Xincheng Tourism Industry
491,Ziniare,BF,91.4,few clouds,12.58,-1.3,Privilège Hôtel de Ziniaré
495,Bilecik,TR,82.4,few clouds,40.0,30.17,Namlı Osmanlı Konagi
499,Faya,SA,89.6,scattered clouds,18.39,42.45,مقبرة ال مجمل
500,Weligama,LK,81.25,clear sky,5.97,80.42,Weligama Bay Resort
505,Sur,OM,93.56,broken clouds,22.57,59.53,Sur Plaza Hotel
506,Constantine,DZ,89.6,clear sky,36.37,6.61,Grand Hotel Cirta
509,Jiazi,CN,82.35,broken clouds,22.88,116.07,Hotel Jin Hao
511,Mbandaka,CD,86.4,broken clouds,0.05,18.26,Guest House Epervier
513,Birpur,IN,86.38,broken clouds,26.52,87.02,Maa Sherawali Sweet Content
516,Baft,IR,91.96,broken clouds,29.23,56.61,بافت خیابان طالقانی غربی ساختمان مادر
519,Mchinji,MW,76.24,broken clouds,-13.8,32.88,Compass Lodge
525,Kamensk-Shakhtinskiy,RU,82.24,clear sky,48.32,40.26,Hotel USSR
528,Tarsus,TR,95.0,few clouds,36.92,34.88,Osmanli Marco Pasha Hotel
534,Cabedelo,BR,77.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
535,Nalhati,IN,88.36,overcast clouds,24.3,87.82,JEEVAN DARSHN
536,Polur,IN,93.24,broken clouds,12.5,79.13,Sagar choubey
538,Ponyri,RU,80.6,scattered clouds,52.32,36.3,Gostinitsa Uyut
540,Jieshi,CN,83.5,overcast clouds,22.81,115.83,Yuehai Hotel
541,Tateyama,JP,79.0,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
543,Baykit,RU,76.64,overcast clouds,61.67,96.37,Gostinitsa
546,Tiarei,PF,77.0,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
548,Lazaro Cardenas,MX,77.74,overcast clouds,17.96,-102.2,Hotel Quinta Antigua
551,Los Llanos De Aridane,ES,77.0,broken clouds,28.66,-17.92,Valle Aridane
552,Trairi,BR,82.26,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
553,Bambanglipuro,ID,76.08,clear sky,-7.95,110.28,Puri Brata
558,Toul,FR,80.6,scattered clouds,48.67,5.92,Abc Hotel
563,Bosanska Gradiska,BA,89.6,few clouds,45.14,17.25,Hostel Art Gradiska
564,Puerto Escondido,MX,77.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
