City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
125,Malpe,IN,13.35,74.72,84.2,79,75,10.29,broken clouds,0.0,0.0
126,Chuy,UY,-33.7,-53.46,44.78,76,83,4.99,broken clouds,0.0,0.0
127,Saskylakh,RU,71.92,114.08,59.9,56,24,14.36,few clouds,0.0,0.0
128,Avarua,CK,-21.21,-159.78,68.0,88,20,8.05,light rain,0.0,0.0
129,Tuatapere,NZ,-46.13,167.68,39.0,83,98,3.0,overcast clouds,0.0,0.0
130,Porto Walter,BR,-8.27,-72.74,72.21,96,84,0.65,light rain,0.23,0.0
131,Srednekolymsk,RU,67.45,153.68,53.92,42,29,8.95,scattered clouds,0.0,0.0
132,Alofi,NU,-19.06,-169.92,73.4,83,93,4.7,overcast clouds,0.0,0.0
133,Angoram,PG,-4.06,144.07,76.35,96,93,1.54,light rain,0.54,0.0
134,Sheltozero,RU,61.37,35.37,65.59,55,89,10.11,overcast clouds,0.0,0.0
135,Talara,PE,-4.58,-81.27,66.27,79,67,14.63,broken clouds,0.0,0.0
136,Geraldton,AU,-28.77,114.6,62.6,88,75,8.05,broken clouds,0.0,0.0
137,Raudeberg,NO,61.99,5.14,80.6,44,0,9.17,clear sky,0.0,0.0
138,Gat,IL,31.61,34.76,88.0,72,0,15.01,clear sky,0.0,0.0
139,Yemelyanovo,RU,56.17,92.68,68.0,68,89,4.47,moderate rain,1.62,0.0
140,Tazmalt,DZ,36.39,4.4,80.6,65,40,6.93,scattered clouds,0.0,0.0
141,Victoria,HK,22.29,114.16,86.0,70,98,5.99,overcast clouds,0.0,0.0
142,Port Elizabeth,ZA,-33.92,25.57,69.8,25,0,18.34,clear sky,0.0,0.0
143,Orsha,BY,54.52,30.41,84.2,37,0,8.95,clear sky,0.0,0.0
144,Havre-Saint-Pierre,CA,50.23,-63.6,64.4,72,75,12.75,broken clouds,0.0,0.0
145,Jalu,LY,29.03,21.55,94.69,21,0,14.94,clear sky,0.0,0.0
146,Marsh Harbour,BS,26.54,-77.06,81.09,79,10,9.66,clear sky,0.0,0.0
